id,name,artists,year,popularity,key,tempo,acousticness,duration_ms,danceability,energy,explicit,instrumentalness,liveness,loudness,mode,speechiness,valence
6lbhWl34Il0WXm5pX1fM9E,Up Down (Do This All Day) (feat. B.o.B),"['T-Pain', 'B.o.B']",2014,55,5,96.994,0.256,231093,0.777,0.497,1,0,0.295,-6.846,0,0.056,0.465
133g7oJWqvMnhvwfXL4CU1,Best Love Song (feat. Chris Brown),"['T-Pain', 'Chris Brown']",2011,55,7,79.842,0.126,197600,0.481,0.818,0,0,0.4,-2.684,1,0.0833,0.633
2dYyMKEFQIRXzB6QYZWLIO,Best Love Song (feat. Chris Brown),"['T-Pain', 'Chris Brown']",2011,65,7,159.901,0.0452,195987,0.583,0.712,0,0,0.174,-6.618,1,0.054,0.69
4gdx3sBwgfZTZAqxKzQVTA,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),"['T-Pain', 'Joey Galaxy']",2011,56,1,158.162,0.00786,235733,0.782,0.676,0,1.17E-06,0.141,-6.144,1,0.324,0.878
6QgkOxBXqVRjZ1JcIDbDYY,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),"['T-Pain', 'Joey Galaxy']",2014,55,1,157.935,0.00931,235307,0.786,0.689,0,1.14E-06,0.214,-6.113,1,0.315,0.874
5daPDkqS2ftQClyDn1pSk2,T-Pain Mashup (with Kurt Hugo Schneider),"['T-Pain', 'Kurt Hugo Schneider']",2017,58,1,171.528,0.847,184527,0.337,0.273,0,0,0.121,-9.258,1,0.042,0.559
5QfQKhvdcxPgp68O0S39FV,Dan Bilzerian (feat. Lil Yachty),"['T-Pain', 'Lil Yachty']",2016,63,4,149.99,0.119,209663,0.793,0.789,1,0,0.0632,-3.962,1,0.0626,0.606
2Rea6PxenESVsJfEaGBGsD,5 O'Clock (feat. Lily Allen & Wiz Khalifa),"['T-Pain', 'Lily Allen', 'Wiz Khalifa']",2011,52,7,83.85,0.0697,281280,0.555,0.742,1,0,0.102,-5.495,0,0.22,0.352
6j236RwzFFj4wqH2tWJNBD,5 O'Clock (feat. Lily Allen & Wiz Khalifa),"['T-Pain', 'Lily Allen', 'Wiz Khalifa']",2011,59,7,167.114,0.168,281533,0.4,0.882,1,0,0.124,-1.958,0,0.334,0.385
5Ue25r0VGvZR7vaw3iB0gZ,Turn All the Lights On (feat. Ne-Yo),"['T-Pain', 'Ne-Yo']",2011,63,6,127.01,0.0382,216440,0.697,0.807,1,0,0.471,-3.049,0,0.0587,0.732
4cM0qNo02rp56x7c6nlx6T,F.B.G.M.,"['T-Pain', 'Young M.A']",2017,64,5,77.509,0.127,188832,0.689,0.657,1,0,0.166,-3.632,0,0.0394,0.234
1Q1jlFs004vwB0DOznii3K,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"['T-Pain', 'Yung Joc']",2014,51,1,,0.0112,230853,0.691,0.542,0,0,0.098,-8.161,1,0.145,0.587
